parachute diameter [m] ,wheel radius [m]    ,chassis mass [kg]  ,speed reducer gear diameter (d2) [m] ,rocket fuel mass [kg] ,Time               ,Feasible ,constraint_distance     ,constraint_strength ,constraint_velocity ,constraint_cost     ,constraint_battery
    14.0               ,0.2                 ,250.0              ,0.05                                 ,   100.0              ,2679.429085560392  ,False    ,0.0                     ,-5.25               ,-0.9999517819409479 , 2.9505469500035972 ,-0.8137583554086883
    14.0               ,0.2                 ,250.0              ,0.05                                 ,   290.0              ,2206.2703541025003 ,False    ,0.0                     ,-5.25               ,139.66680820923176  , 2.9901302833369305 ,-0.8137583554086883
    13.556642374459093 ,0.1705993773842542  ,250.06630994631152 ,0.09721052948831062                  ,   100.09476227359183 ,5486.019976915784  ,False    ,0.45321441502755794     ,-5.251657748657788  ,-0.9999521415506026 , 2.996310516201883  ,-0.43496669934219767
    14.446816899223554 ,0.21220511176941834 ,250.06184243199544 ,0.06893734150722072                  ,   289.8898566321908  ,3808.496306471912  ,False    ,-1.1368683772161603e-16 ,-5.251546060799886  ,126.50392960796401  , 3.00907455427194   ,-0.7355015030172859
    14.0               ,0.2                 ,800.0              ,0.05                                 ,   100.0              ,2564.4065895105214 ,False    ,1.1368683772161603e-16  ,-19.0               ,-0.9999637531256409 ,10.589435838892486  ,-0.7304651094121046
    14.0               ,0.2                 ,800.0              ,0.05                                 ,   290.0              ,2318.7118446778613 ,False    ,1.1368683772161603e-16  ,-19.0               ,184.7036261930882   ,10.62901917222582   ,-0.7304651094121046
    13.481303460268231 ,0.2959994690446931  ,799.9756518771553  ,0.0778290544918809                   ,   100.04818925598741 ,3771.7919506132757 ,False    ,-1.1368683772161603e-16 ,-18.99939129692888  ,-0.9999651526494328 ,10.624710993836304  ,-0.6947173878892061
    14.3151004510791   ,0.2100301808282939  ,799.8992288731181  ,0.1698442551527286                   ,   289.88061019924305 ,5033.250199755958  ,False    ,0.7780266122789349      ,-18.99748072182795  ,175.78617382332266  ,10.812412189197627  ,0.3365513979439731
    14.0               ,0.7                 ,250.0              ,0.05                                 ,   100.0              ,1236.6011475576224 ,False    ,1.1368683772161603e-16  ,-5.25               ,-0.9999517819409479 , 2.9567969500035973 ,-0.8634846395067558
    14.0               ,0.7                 ,250.0              ,0.05                                 ,   290.0              , 763.4424160997305 ,False    ,1.1368683772161603e-16  ,-5.25               ,139.66680820923176  , 2.9963802833369306 ,-0.8634846395067558
    14.0               ,0.7                 ,250.0              ,0.12                                 ,   100.0              ,3967.0706224429487 ,False    ,0.0                     ,-5.25               ,-0.9999517819409479 , 3.0394358388924863 ,-0.7599031986273277
    14.465823726217868 ,0.6930382684534744  ,250.0448551950933  ,-0.11194753314613054                 ,   289.94065222296297 ,3092.459937838109  ,False    ,1.1368683772161603e-16  ,-5.251121379877333  ,125.99153730963043  , 3.0681057597826515 ,-0.7808738389513253
    14.0               ,0.7                 ,800.0              ,0.05                                 ,   100.0              ,1187.5477261242975 ,False    ,0.0                     ,-19.0               ,-0.9999637531256409 ,10.595685838892487  ,-0.7110913459881306
    14.0               ,0.7                 ,800.0              ,0.05                                 ,   290.0              , 941.8529812916371 ,False    ,0.0                     ,-19.0               ,184.7036261930882   ,10.63526917222582   ,-0.7110913459881306
    14.0               ,0.7                 ,800.0              ,0.12                                 ,   100.0              ,3827.4143075389234 ,False    ,1.1368683772161603e-16  ,-19.0               ,-0.9999637531256409 ,10.678324727781376  ,-0.7067588881415277
    14.0               ,0.7                 ,800.0              ,0.12                                 ,   290.0              ,3581.719562706263  ,False    ,1.1368683772161603e-16  ,-19.0               ,184.7036261930882   ,10.71790806111471   ,-0.7067588881415277
    19.0               ,0.2                 ,250.0              ,0.05                                 ,   100.0              ,2816.6850566676717 ,False    ,0.0                     ,-5.25               ,-0.999950074985932  , 2.968545657914789  ,-0.8137583554086883
    19.0               ,0.2                 ,250.0              ,0.05                                 ,   290.0              ,2421.3658702295843 ,False    ,0.0                     ,-5.25               ,-0.9999797969053715 , 3.0081289912481224 ,-0.8137583554086883
