parachute diameter [m] ,wheel radius [m]      ,chassis mass [kg]  ,speed reducer gear diameter (d2) [m] ,rocket fuel mass [kg] ,Time                ,Feasible ,[constraint_distance                                                                ,constraint_strength ,constraint_velocity ,constraint_cost ,constraint_battery]
    19.0               ,0.7                   ,550.0              ,0.09                                 ,   250.0              ,2314.8911110208087  ,False
    19.0               ,0.7                   ,550.0              ,0.09                                 ,   250.0              ,2314.8911110208087  ,False
    16.30209932068078  ,0.5285536872684764    ,595.3682521732555  ,0.08849939197041748                  ,   132.07668495158015 ,3017.5359250408733  ,False
    15.865632739308044 ,0.427374659616499     ,468.6987969806087  ,0.09699996473825943                  ,   203.46236097898475 ,3925.755206357409   ,False
    14.9775867411802   ,0.5975865016098483    ,696.7791112269964  ,0.09168052885652124                  ,   214.35189437593763 ,2526.73589023054    ,False
    18.750496985113156 ,0.582567544427366     ,738.4258725573052  ,-0.21340396737731956                 ,   274.8476146502326  ,5054.7042971710025  ,False
    17.241431972907677 ,0.4769339914088001    ,270.8279127130592  ,0.09414376038921361                  ,   280.7147042600293  ,3198.836271311491   ,False
    17.145259728517388 ,0.612325088466167     ,589.2424103387332  ,0.07459115611487412                  ,   260.16773058090763 ,1715.7836812935234  ,False
    18.93473812764299  ,0.5822738798182217    ,553.047803763625   ,0.0736439287842954                   ,   196.58638293245212 ,2112.357407920207   ,False
    19.0               ,0.7                   ,550.0              ,0.09                                 ,   250.0              ,2314.8911110208087  ,False    ,"[-1.13686838e-16 -1.27500000e+01 -9.99979156e-01  7.21160121e+00 -7.96207214e-01]"
    15.57412736725939  ,0.3669732344353821    ,360.0621836455216  ,0.07811999803488046                  ,   167.97640935132944 ,3211.642200762166   ,False    ,[ 0.         -8.00155459 -0.99996318  4.55221124 -0.7770413 ]
    16.561441432266836 ,0.5445025349763393    ,287.84244618441494 ,-0.1266150468486936                  ,   173.4989095818925  ,5339.352755521502   ,False    ,"[ 1.13686838e-16 -6.19606115e+00 -9.99961162e-01  3.60020577e+00 -6.78471471e-01]"
    15.707738238216507 ,0.6978660690380157    ,673.881920692244   ,0.05884098040387067                  ,   181.06164414991474 ,1196.5620116368254  ,False    ,[  0.         -15.84704802  -0.9999742    8.87315018  -0.78292385]
    15.184301111137515 ,0.5475151360408628    ,405.9705581837817  ,0.10089363581477886                  ,   210.34675385652704 ,3217.9151579696345  ,False    ,[ 0.         -9.14926395 28.16366832  5.20314389 -0.76043117]
    15.507962060605188 ,0.2271173199958359    ,486.3942275502031  ,-0.01485597261367988                 ,   211.40694523173815 ,  51.90734942568065 ,False    ,[  0.99990424 -11.15985569  36.07982651   6.2486153    0.88053198]
    18.64620997166077  ,0.6678505251787387    ,403.2437627059392  ,0.0739794037195961                   ,   250.8648601635744  ,1782.3517222031892  ,False    ,[ 0.         -9.08109407 -0.99997576  5.15380407 -0.83276908]
    15.770832083396721 ,0.6321320708347089    ,645.6892775762306  ,0.07317325841828233                  ,   167.25570727624557 ,1826.052718629639   ,False    ,[  0.         -15.14223194  -0.99997056   8.49206544  -0.79391903]
    15.110494867092418 ,0.3034033964283363    ,365.0104672459012  ,0.0696259005185055                   ,   244.1926413046344  ,2790.1071070095973  ,False    ,[ 0.         -8.12526168 77.95161985  4.6116248  -0.77947425]
    15.055441835380556 ,0.6000116597611573    ,380.5298175174763  ,0.055524025049501054                 ,   158.92125191487668 ,1347.9936179196848  ,False    ,[ 0.         -8.51324544 -0.99996283  4.78937956 -0.84130201]
    17.72664562551693  ,0.6135372332629425    ,727.1461797615143  ,0.05359020650750374                  ,   211.4331380777172  ,1230.6242148976212  ,False    ,[  0.         -17.17865449  -0.99997856   9.6225225   -0.76353069]
    16.146354411457658 ,0.6586928231025846    ,665.2607618376784  ,0.06334143592661913                  ,   233.41571680254202 ,1257.8096913653312  ,False    ,[  0.         -15.63151905  73.8760579    8.76966162  -0.79086161]
    19.0               ,0.7                   ,550.0              ,0.09                                 ,   250.0              ,2314.8911110208087  ,False    ,"[-1.13686838e-16 -1.27500000e+01 -9.99979156e-01  7.21160121e+00 -7.96207214e-01]"
    15.323974928748559 ,0.29588528665499897   ,571.7178401495305  ,0.08245963737299689                  ,   236.96969967812493 ,3960.281955496714   ,False    ,[  0.         -13.292946    90.273219     7.49391245  -0.70182619]
    17.075992016776905 ,0.6836250152097433    ,417.71394954678493 ,0.09024563664103596                  ,   150.62457617997157 ,2561.632178245928   ,False    ,"[ 1.13686838e-16 -9.44284874e+00 -9.99959481e-01  5.34632770e+00 -8.10538352e-01]"
    16.76140977841312  ,0.26831876575755825   ,613.5980375379288  ,0.03805272839959564                  ,   133.23891123981184 ,1564.5168599870817  ,False    ,[  0.         -14.33995094  -0.99996099   8.01726447  -0.7757469 ]
    16.168022218385076 ,0.3918645715525852    ,302.21523427724355 ,0.08164021213181556                  ,   162.64845039981705 ,3333.5787004962094  ,False    ,"[ 1.13686838e-16 -6.55538086e+00 -9.99960116e-01  3.76110120e+00 -7.80703954e-01]"
    16.37240591026324  ,0.42184054754742567   ,356.9089855229893  ,0.06348843171133609                  ,   154.862574811224   ,2152.557259747742   ,False    ,"[-1.13686838e-16 -7.92272464e+00 -9.99959704e-01  4.51188797e+00 -8.27420566e-01]"
    15.586869393480585 ,0.3383166651373119    ,517.9973342706348  ,0.045127380858354105                 ,   211.93100210762876 ,1232.4909878993976  ,False    ,[  0.         -11.94993336  41.22061592   6.71928922  -0.80592668]
